,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,is_political,group_slug
88,Dog Missing / Pet Lost & Found Alert Group,18,1,570.0,80000.0,4.0,508,3.543307086614173,False,198089680645
89,Swagbucks,18,6,10.0,12000.0,7.0,508,3.543307086614173,False,Swagbuckswelcome
90,Turner Classic Movies For Fans!,18,2,1900.0,153000.0,1.0,508,3.543307086614173,False,TCMforFans
91,Women for Trump,18,0,270.0,21000.0,0.0,508,3.543307086614173,True,387158605653732
92,PROPHET TRACY COOKE PROPHECIES UPDATE,18,0,60.0,37000.0,2.0,508,3.543307086614173,False,553380715370267
93,💞🐶 Dachshund Love 🐶💞,18,0,330.0,152000.0,0.0,508,3.543307086614173,False,615798308836950
94,Only The Hilarious,18,0,290.0,1000000.0,9.0,508,3.543307086614173,False,1576329699361266
95,Work Week Memes,18,0,12000.0,168000.0,3.0,508,3.543307086614173,False,219961918774486
96,Our Relationship Rules,18,0,9.0,12000.0,2.0,508,3.543307086614173,False,1556129071349255
97,Relationship Love Quotes,18,0,60.0,193000.0,0.0,508,3.543307086614173,False,1673727879506684
98,The Ben Shapiro Show Memes and Discussion,18,0,40.0,9100.0,1.0,508,3.543307086614173,True,benshapiromemes
99,Pennsylvania Campers And Parts For Sale,18,0,160.0,44000.0,1.0,508,3.543307086614173,False,349080758603063
100,Dr. Steve Turley Fans,18,0,170.0,1600.0,0.0,508,3.543307086614173,True,341054530313485
